name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
Daphne du Maurier,female,1907-05-13,United Kingdom,London
Pam Muñoz Ryan,female,"1951-12-11, 1951-12-25",United States of America,"Bakersfield, San Joaquin Valley"
Julian Symons,male,1912-05-30,United Kingdom,London
Charles Stross,male,1964-10-18,United Kingdom,Leeds
Tom Peters,male,1942-11-07,United States of America,Baltimore
Immaculée Ilibagiza,female,1972-01-01,Rwanda,Rwanda
Ann Voskamp,female,1973-08-10,United States of America, Ontario
Marjane Satrapi,female,1969-11-22,"Iran, France",Rasht
Lauren Kate,female,1981-03-21,United States of America,Dayton
Eric Schlosser,male,1959-08-17,United States of America,New York City
J. Courtney Sullivan,female,1981-08-10,United States of America,Boston
Lisa Genova,female,1970-11-22,United States of America,United States of America
John Cassaday,male,1971-12-14,United States of America,Fort Worth
Tommy Lee,male,1962-10-03,"Greece, United States of America",Athens
Sinclair Lewis,male,"1885-02-07, 1885-05-07, 1885-00-00",United States of America,Sauk Centre
Baruch Spinoza,male,1632-11-24,Dutch Republic,Amsterdam
Atul Gawande,male,"1965-11-05, 1965-05-11",United States of America,Brooklyn
Ramachandra Guha,male,1958-04-29,India,Dehradun
Andy Goldsworthy,male,1956-07-26,United Kingdom,Cheshire
Richard Feynman,male,1918-05-11,United States of America,Far Rockaway
Rafael Sabatini,male,1875-04-29,"United Kingdom, Italy, United Kingdom of Great Britain and Ireland, Kingdom of Italy",Iesi
Jennifer Worth,female,1935-09-25,United Kingdom,Sea
Alyson Richman,female,1972-05-19,United States of America,New York City
Don Bartlett,male,1960-04-01,Canada,Gander
Daniel Keyes,male,1927-08-09,United States of America,Brooklyn
Cary Elwes,male,"1962-10-26, 1962-01-01",United Kingdom,Westminster
Alfred Gough,male,1967-08-22,United States of America,Leonardtown
Kristin Cashore,female,1976-06-10,United States of America,Boston
Betty MacDonald,female,"1908-03-26, 1907-03-26",United States of America,Boulder
Catherine Gilbert Murdock,female,2000-01-01,United States of America,Charleston
François Lelord,male,1953-06-22,France,Paris
Holly Goldberg Sloan,female,"1958-01-01, 1958-08-07",United States of America,Ann Arbor
John Lanchester,male,1962-02-25,United Kingdom,Hamburg
Ivan Goncharov,male,1812-06-06,Russian Empire,Ulyanovsk
Donna Murphy,female,1959-03-07,United States of America,New York City
Paul Zindel,male,1936-05-15,United States of America,Tottenville
Stephen Crane,male,1871-11-01,United States of America,Newark
Tim Seeley,male,1975-00-00,United States of America,United States of America
Diablo Cody,female,1978-06-14,"United States of America, Sweden",Lemont
Pamela Druckerman,female,1970-01-01,United States of America,New York City
Tom Stoppard,male,1937-07-03,"Czechoslovakia, United Kingdom",Zlín
Scott Cunningham,male,1956-06-27,United States of America,Royal Oak
Andrew Loomis,male,1892-01-01,United States of America,Syracuse
Patricia Reilly Giff,female,1935-04-26,United States of America,Brooklyn
Susan Dennard,female,1984-02-25,United States of America,Virginia
John Saul,male,1942-02-25,United States of America,Pasadena
Lily King,female,1963-00-00,United States of America,United States of America
Patti Smith,female,1946-12-30,United States of America,Chicago
Arina Tanemura,female,1978-03-12,Japan,Aichi Prefecture
Mitch Albom,male,1958-05-23,United States of America,Trenton
Marlo Morgan,female,1937-09-29,United States of America,Iowa
Paula Hawkins,female,1927-01-24,United States of America,Salt Lake City
Simon Kuper,male,1969-10-15,"Uganda, United Kingdom",Kampala
Ingrid Law,female,1970-05-01,United States of America,New York City
Adelle Waldman,female,1977-00-00,United States of America,Baltimore
Stephen Chbosky,male,1970-01-25,United States of America,Pittsburgh
Georgette Heyer,female,1902-08-16,United Kingdom,Wimbledon
Nathanael West,male,1903-10-17,United States of America,New York City
Raymond Geuss,male,1946-12-10,"United States of America, United Kingdom",Evansville
Joseph Campbell,male,1904-03-26,United States of America,White Plains
Leonardo da Vinci,male,1452-04-15,Republic of Florence,Anchiano
Gene Stratton-Porter,female,1863-08-17,United States of America,"Lagro, Wabash County"
Sherrilyn Kenyon,female,1965-12-11,United States of America,Columbus
Jamie Oliver,male,1975-05-27,United Kingdom,Essex
Chelsea Handler,female,1975-02-25,United States of America,Livingston
Corinne Malvern,female,1901-12-13,United States of America,Accomack County
Yoshitaka Amano,male,"1952-03-26, 1952-07-28",Japan,Shizuoka
Roger Zelazny,male,1937-05-13,United States of America,Euclid
Rory Albanese,male,1977-05-29,United States of America,Long Island City
Steven Galloway,male,1975-07-13,Canada,Vancouver
J. Torres,male,1969-01-01,Canada,Manila
Ilan Stavans,male,1961-04-07,Mexico,Mexico City
Maggie Nelson,female,1973-00-00,United States of America,San Francisco
Alton Brown,male,1962-07-30,United States of America,Los Angeles
Russell Hoban,male,1925-02-04,United States of America,Lansdale
Wilkie Collins,male,1824-01-08,United Kingdom of Great Britain and Ireland,London
Maggie Stiefvater,female,1981-11-18,United States of America,Harrisonburg
Jay Rubin,male,1941-01-01,United States of America,
Beatrice Sparks,female,1917-01-15,United States of America,Custer County
Laurence Sterne,male,1713-11-24,Great Britain,Clonmel
Rachel Hawkins,female,1992-01-31,United Kingdom,Manchester
Laura Lippman,female,1959-01-31,United States of America,Atlanta
Dan Brown,male,1964-06-22,United States of America,Exeter
Nicholas Pileggi,male,1933-02-22,United States of America,New York City
Jessi Klein,female,1975-08-17,United States of America,New York City
Alexandra Bracken,female,1987-02-27,United States of America,"Scottsdale, Phoenix"
Alan Hollinghurst,male,1954-05-26,United Kingdom,Stroud
Amy Wallace,female,1955-07-03,United States of America,Los Angeles
Neil Simon,male,1927-07-04,United States of America,New York City
Greg Mortenson,male,1957-12-27,United States of America,Rochester
David McKee,male,1935-01-02,United Kingdom,Devon
Alex Flinn,female,1966-10-23,United States of America,New York City
Yoshihiro Togashi,male,"1966-04-26, 1966-04-27",Japan,Yamagata Prefecture
Bryan Talbot,male,1952-02-24,United Kingdom,Wigan
André Aciman,male,1951-01-02,United States of America,Alexandria
Gabriel Bá,male,1976-06-05,Brazil,São Paulo
Kieron Gillen,male,1975-01-01,United Kingdom,Stafford
R. Scott Bakker,male,1967-02-02,Canada,Simcoe
Linda Howard,female,1950-08-03,United States of America,Alabama
Han Kang,female,1970-11-27,South Korea,Gwangju
David Hahn,male,1976-10-30,United States of America,Commerce Township
Lisa McMann,female,1968-02-27,United States of America,Holland
Matsuri Hino,female,2000-01-01,Japan,Sapporo
Joni Eareckson Tada,female,1949-10-15,United States of America,Baltimore
William Kamkwamba,male,1987-09-05,Malawi,Dowa
Gerald McCann,male,1950-03-20,United States of America,Jersey City
Lorenzo Carcaterra,male,1954-10-16,United States of America,New York City
Dodie Smith,female,1896-05-03,United Kingdom,Whitefield
Martin Pistorius,male,1975-00-00,South Africa,Johannesburg
Caleb Carr,male,1955-08-02,United States of America,Manhattan
Kate Beaton,female,1983-09-08,Canada,Nova Scotia
Vince Flynn,male,1966-04-06,United States of America,Saint Paul
Hugh Wheeler,male,1912-03-19,"United Kingdom, United States of America, United Kingdom of Great Britain and Ireland",London
Richelle Mead,female,1976-11-12,United States of America,Michigan
Amy Sedaris,female,1961-03-29,United States of America,Endicott
Jean Rhys,female,1890-08-24,Dominica,Roseau
Gene Ha,male,2000-01-01,United States of America,Chicago
Rob Corddry,male,1971-02-04,United States of America,Weymouth
Arianna Huffington,female,1950-07-15,"United States of America, Greece",Athens
Robert McCloskey,male,1914-09-15,United States of America,Hamilton
Robert Jordan,male,1948-10-17,United States of America,Charleston
Angela Elwell Hunt,female,1957-12-20,United States of America,Winter Haven
Roberto González Echevarría,male,1943-11-28,"Cuba, United States of America",Cuba
Giovanni Boccaccio,male,1313-07-16,Republic of Florence,Certaldo
Ally Condie,female,1971-11-02,United States of America,Cedar City
Lena Dunham,female,1986-05-13,United States of America,New York City
Reginald Rose,male,1920-12-10,United States of America,New York City
Walter Mosley,male,1952-01-12,United States of America,Los Angeles
Richard Llewellyn,male,1906-12-08,"United Kingdom, United Kingdom of Great Britain and Ireland",Hendon
Brian Jacques,male,1939-06-15,United Kingdom,Liverpool
Dante Alighieri,male,"1265-00-00, 1265-05-30, 1265-06-06",Republic of Florence,Florence
Charles Frazier,male,1950-11-04,United States of America,Asheville
Susane Colasanti,female,1973-05-01,United States of America,New Jersey
Peter Mayle,male,1939-06-14,United Kingdom,Brighton
Laurent Binet,male,1972-07-19,France,Paris
Daniel Woodrell,male,1953-03-04,United States of America,Springfield
Eric Berne,male,1910-05-10,"Canada, United States of America",Montreal
Hermann Hesse,male,1877-07-02,"German Empire, Switzerland",Calw
Ashwin Sanghi,male,1969-01-25,India,Mumbai
Matt Hollingsworth,male,1968-12-17,United States of America,California
Melissa Anelli,female,1979-12-27,United States of America,Brooklyn
Amanda Lindhout,female,1981-06-12,Canada,Red Deer
Rick Bragg,male,1959-07-26,United States of America,Piedmont
Tonya Hurley,female,2000-00-00,United States of America,Uniontown
Samad Behrangi,male,1939-06-24,Iran,Tabriz
Gennifer Choldenko,female,1957-10-20,United States of America,Santa Monica
Sheldon Moldoff,male,1920-04-14,United States of America,New York City
Glen Cook,male,1944-07-09,United States of America,New York City
Roberto Bolaño,male,1953-04-28,Chile,Santiago
Ellen Hopkins,female,1955-03-26,United States of America,Long Beach
Richard Henry Dana Jr.,male,1815-08-01,United States of America,Cambridge
Robert W. Chambers,male,1865-05-26,United States of America,Brooklyn
Isabel Wilkerson,female,1961-01-01,United States of America,
Patricia Crampton,female,1925-12-12,United States of America,Mumbai
Tachibana Higuchi,female,1975-03-16,Japan,Kyoto
Dale Eaglesham,male,1962-01-01,United States of America,Châteauguay
Chris Riddell,male,1962-04-13,United Kingdom,Cape Town
Tabitha Suzuma,female,1975-01-01,United Kingdom,London
Karen Harper,female,1945-04-06,United States of America,Toledo
Thomas Merton,male,1915-01-31,United States of America,Prades
Seth Grahame-Smith,male,1976-01-04,United States of America,Rockville Centre
Kim Stanley Robinson,male,1952-03-23,United States of America,Waukegan
Marcia Brown,female,1918-07-13,United States of America,Rochester
David Almond,male,1951-05-15,"England, United Kingdom",Newcastle upon Tyne
Marilyn Manson,male,1969-01-05,United States of America,Canton
Malcolm Lowry,male,1909-07-28,United Kingdom,Birkenhead
Susan Sarandon,female,1946-10-04,United States of America,New York City
Deepak Chopra,male,1946-10-22,"British India, Dominion of India, India",New Delhi
Günter Grass,male,1927-10-16,"German Reich, Free City of Danzig, Germany",Gdańsk
Nikos Kazantzakis,male,1883-02-18,Greece,Heraklion
Mark Twain,male,1835-11-30,United States of America,Florida
Cheryl Strayed,female,1968-09-17,United States of America,Spangler
Alexandra Adornetto,female,1992-04-18,Australia,Melbourne
Jude Watson,female,1956-10-26,United States of America,Brooklyn
David Eddings,male,1931-07-07,United States of America,Spokane
Sue Monk Kidd,female,1948-08-12,United States of America,Sylvester
Margaret Mitchell,female,"1900-11-08, 1900-11-09",United States of America,Atlanta
Lydia Davis,female,1947-07-15,United States of America,Northampton
Joseph Heller,male,1923-05-01,United States of America,"New York City, Coney Island"
Donald Crews,male,1938-08-30,United States of America,Newark
Robert Cormier,male,1925-01-17,United States of America,Massachusetts
Anita Shreve,female,1946-10-07,United States of America,Dedham
Jennifer Chiaverini,female,1969-01-01,United States of America,Cincinnati
Eduardo Risso,male,"1959-11-23, 1959-01-01",Argentina,Leones
Ralph Steadman,male,1936-05-15,United Kingdom,Wallasey
Gaston Leroux,male,1868-05-06,France,Paris
Walter Jon Williams,male,1953-00-00,United States of America,Duluth
Philip Tan,male,1978-01-01,Philippines,Manila
John Burgoyne,male,1722-02-24,Great Britain,Sutton
Marya Hornbacher,female,1974-04-04,United States of America,Minneapolis
Gene Wolfe,male,1931-05-07,United States of America,New York City
Bob Gale,male,1951-05-25,United States of America,University City
Colm Tóibín,male,1955-05-30,Ireland,Enniscorthy
Aya Nakahara,female,1973-07-28,Japan,Ōsaka
Alec Stevens,male,1965-02-22,United States of America,Salvador
Bette Greene,female,1934-06-28,United States of America,Memphis
Harlan Ellison,male,1934-05-27,United States of America,Cleveland
Nathaniel Hawthorne,male,1804-07-04,United States of America,Salem
Ralph Manheim,male,1907-04-04,United States of America,New York City
Hannu Rajaniemi,male,1978-03-09,Finland,Ylivieska
Scott Turow,male,"1949-04-12, 1956-04-12",United States of America,Chicago
Megan Abbott,female,1971-08-21,United States of America,Detroit
Stephen Hawking,male,1942-01-08,United Kingdom,Oxford
Deirdre Bair,female,1935-06-21,United States of America,Pittsburgh
Wil Huygen,male,1922-06-23,Kingdom of the Netherlands,Amersfoort
Richard Siken,male,1967-02-15,United States of America,New York City
Julia Glass,female,1956-03-23,United States of America,Boston
Erin Gruwell,female,"1969-08-15, 1969-00-00",United States of America,California
Holly Black,female,1971-11-10,United States of America,New Jersey
Tom Grummett,male,1959-01-01,Canada,Saskatoon
Harry Bernstein,male,1910-05-30,"United Kingdom, United States of America",Stockport
Adriana Trigiani,female,1970-01-01,United States of America,Big Stone Gap
Diane Duane,female,1952-05-18,United States of America,New York City
Brandon Stanton,male,1984-03-01,United States of America,Marietta
Dennis O'Neil,male,1939-05-03,United States of America, Louis
Douglas Preston,male,1956-05-20,United States of America,Cambridge
Susan Cooper,female,1935-05-23,"United States of America, United Kingdom",Burnham
Alison Anderson,female,1958-01-01,Australia,Haasts Bluff
Jerzy Kosiński,male,1933-06-14,"Poland, United States of America",Łódź
Jude Deveraux,female,1947-09-20,United States of America,Fairdale
Ernest J. Gaines,male,1933-01-15,United States of America, Louisiana
Kristin Hannah,female,1960-09-25,United States of America,Garden Grove
Jackie MacMullan,female,1960-10-07,United States of America,Manhasset
Ben H. Winters,male,1976-06-14,United States of America,Potomac
Jane Lynch,female,1960-07-14,United States of America,Evergreen Park
